,isbn10,isbn13,title,authors,edition,binding,publisher,publish_year
572,0374386153,9780374386153,A Wrinkle in Time: The Graphic Novel,"L'Engle, Madeleine",1,Hardcover,"Farrar, Straus and Giroux (BYR)",2012
573,0763660531,9780763660536,Journey (Aaron Becker's Wordless Trilogy),"Becker, Aaron",Illustrated,Hardcover,Candlewick,2013
574,1455556556,9781455556557,The Best of Me (Movie Tie-In),"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2014
575,1455556556,9781455556557,The Best of Me (Movie Tie-In),"Sparks, Nicholas",Media tie-in,Paperback,Grand Central Publishing,2014
576,1596434023,9781596434028,A Sick Day for Amos McGee,"Stead, Philip C.",Illustrated,Hardcover,Roaring Brook Press,2010
577,1607066920,9781607066927,"Saga, Vol. 2",Brian K. Vaughan; Fiona Staples,Illustrated,Paperback,Image Comics,2013
578,006088732X,9780060887322,"Pretty Little Liars (Pretty Little Liars, Book 1)","Shepard, Sara",Reprint,Paperback,HarperTeen,2007
579,0143110438,9780143110439,"Anthony Doerr & Amor Towles Collection 3 Books Set (A Gentleman in Moscow, Rules of Civility, All the Light We Cannot See)",Anthony Doerr; Amor Towles,,Paperback,Windmill Books/Sceptre/Fourth Estate Ltd,2020
580,0393609405,9780393609400,Astrophysics for People in a Hurry (Astrophysics for People in a Hurry Series),"de Grasse Tyson, Neil",1,Kindle Edition,W. W. Norton & Company,2017
581,1524731668,9781524731663,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",1,Kindle Edition,Vintage,2018
582,1455570230,9781455570232,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,"McRaven, William H.",1,Kindle Edition,Grand Central Publishing,2017
583,1451621388,9781451621389,Brain on Fire: My Month of Madness,"Cahalan, Susannah",Reprint,Paperback,Simon & Schuster,2013
584,0399252053,9780399252051,"Erak's Ransom (Ranger's Apprentice, Book 7)","Flanagan, John",1,Hardcover,Philomel Books,2010
585,152473165X,9781524731656,Bad Blood: Secrets and Lies in a Silicon Valley Startup,"Carreyrou, John",1st Edition,Hardcover,Knopf,2018
586,1501111116,9781501111112,Grit: The Power of Passion and Perseverance,"Duckworth, Angela",Illustrated,Paperback,Scribner,2018
587,0545175305,9780545175302,The Adventures of Ook and Gluk: Kung Fu Cavemen from the Future (Captain Underpants),"Pilkey, Dav; Pilkey, Dav",Illustrated,Hardcover,The Blue Sky Press,2010
588,0553447459,9780553447453,Evicted: Poverty and Profit in the American City,"Desmond, Matthew",Reprint,Paperback,Crown,2017
589,0553447459,9780553447453,Evicted: Poverty and Profit in the American City,"Desmond, Matthew",Reprint,Paperback,Crown,2017
590,0553447459,9780553447453,Evicted: Poverty and Profit in the American City,"Desmond, Matthew",Reprint,Paperback,Crown,2017
591,0307731715,9780307731715,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Mary C. Neal,1st,Paperback,WaterBrook,2012
592,0062310666,9780062310668,Glass Sword (Red Queen),"Aveyard, Victoria",,Hardcover,HarperTeen,2016
593,0385341008,9780385341004,The Guernsey Literary and Potato Peel Pie Society,"Shaffer, Mary Ann; Barrows, Annie",,Paperback,Dial Press Trade Paperback,2009
594,0061944386,9780061944383,Big Nate on a Roll,"Peirce, Lincoln",Illustrated,Hardcover,HarperCollins,2011
595,0761151125,9780761151128,Waddle!: A Scanimation Picture Book,"Butler Seder, Rufus",Illustrated,Hardcover,Workman Publishing Company,2009
596,0545060435,9780545060431,"The Sword Thief (The 39 Clues, Book 3)","Lerangis, Peter",Library Binding,Hardcover,Scholastic,2009
597,0765388111,9780765388117,"A Dog's Purpose: A Novel for Humans (A Dog's Purpose, 1)","Cameron, W. Bruce",Media Tie In,Paperback,Forge Books,2016
598,1423113454,9781423113454,"The Red Pyramid (The Kane Chronicles, Book 1)","Riordan, Rick",Reprint,Paperback,Hyperion Book CH,2011
599,006231064X,9780062310644,"Red Queen (Red Queen, 1)","Aveyard, Victoria",Reprint,Paperback,HarperTeen,2016
600,0735224315,9780735224315,Little Fires Everywhere: A Novel,"Ng, Celeste",Reprint,Paperback,Penguin Books,2019
601,0735224293,9780735224292,Little Fires Everywhere,"Ng, Celeste",First Edition,Hardcover,Penguin Press,2017
602,0062387650,9780062387653,United as One (Lorien Legacies),"Lore, Pittacus",1st Edition,Hardcover,HarperCollins,2016
603,0062387650,9780062387653,United as One (Lorien Legacies),"Lore, Pittacus",1st Edition,Hardcover,HarperCollins,2016
604,1501132954,9781501132957,The Woman in Cabin 10,"Ware, Ruth",Reprint,Paperback,Gallery/Scout Press,2017
605,030740577X,9780307405777,The Zombie Survival Guide: Recorded Attacks,Max Brooks,Reprint,Paperback,Three Rivers Press,2009
606,1612620256,9781612620251,Attack on Titan 2,"Isayama, Hajime",Illustrated,Paperback,Kodansha Comics,2012
607,0316201561,9780316201568,"The Wishing Spell (The Land of Stories, 1)",Chris Colfer,Illustrated,Paperback,"Little, Brown Books for Young Readers",2013
608,1476753830,9781476753836,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","Nosrat, Samin",4th,Hardcover,Simon and Schuster,2017
609,0770435629,9780770435622,Lady Almina and the Real Downton Abbey: The Lost Legacy of Highclere Castle,Countess of Fiona Carnarvon,1st,Paperback,Broadway Books,2011
610,1627790624,9781627790628,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),"O'Reilly, Bill; Dugard, Martin",1,Hardcover,Henry Holt and Co.,2016
611,1401235417,9781401235413,Batman Vol. 1: The Court of Owls (The New 52),"Snyder, Scott","First Edition, Second Printing",Hardcover,DC Comics,2012
612,1476728747,9781476728742,The Wright Brothers,"McCullough, David",First Edition,Hardcover,Simon & Schuster,2015
613,1476728747,9781476728742,The Wright Brothers,"McCullough, David",First Edition,Hardcover,Simon & Schuster,2015
614,0062409859,9780062409850,Go Set a Watchman: A Novel,"Lee, Harper",First Ed,Hardcover,Harper,2015
615,0062387677,9780062387677,United as One (Lorien Legacies Book 7),"Lore, Pittacus",Reprint,Kindle Edition,HarperCollins,2016
616,1565125851,9781565125858,Water for Elephants: A Novel,"Gruen, Sara",Roughcut,Kindle Edition,Algonquin Books,2007
617,1476755868,9781476755861,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),"Limbaugh, Rush",Illustrated,Hardcover,Threshold Editions,2013
618,1442426748,9781442426740,P.S. I Still Love You (2) (To All the Boys I've Loved Before),"Han, Jenny",Reprint,Paperback,Simon & Schuster Books for Young Readers,2017
619,0316013560,9780316013567,The Lion & the Mouse,"Pinkney, Jerry",,Hardcover,"Little, Brown Books for Young Readers",2009
620,1609450787,9781609450786,"My Brilliant Friend: Neapolitan Novels, Book One","Ferrante, Elena",1st,Paperback,Europa Editions,2012
621,0618982507,9780618982509,Are You My Mother?: A Comic Drama,"Bechdel, Alison",First Edition,Hardcover,Houghton Mifflin Harcourt,2012
622,0062024043,9780062024046,Divergent / Insurgent,Veronica Roth,1st,Hardcover,Katherine Tegen Books,2012
623,0756686067,9780756686062,The Lego Ideas Book: Unlock Your Imagination,"Lipkowitz, Daniel",Illustrated,Hardcover,DK Children,2011
624,0307408876,9780307408877,Dead Wake: The Last Crossing of the Lusitania,"Larson, Erik",Reprint,Paperback,Broadway Books,2016
625,1401226930,9781401226930,Blackest Night,"Johns, Geoff",,Hardcover,DC Comics,2010
626,0805098542,9780805098549,Killing Jesus (Bill O'Reilly's Killing Series),"O'Reilly, Bill; Dugard, Martin",1st,Hardcover,Henry Holt and Co.,2013
627,1416983082,9781416983088,"Thirst, no. 1 : Human urges, Fatal, Consequences","Pike, Christopher",Bind-Up,Paperback,Simon Pulse,2009
628,0385542690,9780385542692,Origin: A Novel (Robert Langdon Book 5),"Brown, Dan",4,Kindle Edition,Anchor,2017
629,1338214438,9781338214437,"The Lost Continent (Wings of Fire, Book 11)","Sutherland, Tui T.",Illustrated,Hardcover,Scholastic Press,2018
630,0385542364,9780385542364,The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel,"Whitehead, Colson",1st Edition,Hardcover,Doubleday,2016
631,1617750255,9781617750250,"Adam Mansbach Go the Fuck to Sleep Series 3 Books Collection Set (Go the F**k to Sleep, You Have to F*****g Eat & Fuck, Now There Are Two of You)",Adam Mansbach,1,Hardcover,Akashic Books,2019
632,1934964107,9781934964101,"Scott Pilgrim, Vol. 5: Scott Pilgrim vs The Universe",Bryan Lee O'Malley,Illustrated,Paperback,Oni Press,2010
633,0307593673,9780307593672,The Girl Who Kicked the Hornet's Nest (Millennium Series Book 3),"Larsson, Stieg",Reprint,Kindle Edition,Vintage Crime/Black Lizard,2010
634,1484720970,9781484720974,"The Isle of the Lost (A Descendants Novel, Vol. 1): A Descendants Novel (The Descendants (1))","de la Cruz, Melissa",,Hardcover,Disney-Hyperion,2015
635,1416583432,9781416583431,"Inside of a Dog: What Dogs See, Smell, and Know","Horowitz, Alexandra",First Trade Paperback Edition,Paperback,Scribner,2010
636,006282015X,9780062820150,Magnolia Table,"Gaines, Joanna; Stets, Marah",Illustrated,Hardcover,William Morrow Cookbooks,2018
637,1596435739,9781596435735,The Sculptor,"McCloud, Scott",1st,Hardcover,First Second,2015
638,0307454568,9780307454560,"Millennium series 3 Books Collection Box Set by Stieg Larsson (Books 1 - 3) (The Girl With the Dragon Tattoo, The Girl Who Played with Fire & The Girl Who Kicked the Hornets Nest)",Stieg Larsson,,Paperback,MacLehose Press,2020
639,0393338398,9780393338393,Moneyball,"Lewis, Michael",,Paperback,W. W. Norton & Company,2011
640,1101996986,9781101996980,The Infinite Sea: The Second Book of the 5th Wave,"Yancey, Rick",Reprint,Paperback,Penguin Books,2015
