isbn_b,isbn_a,title,authors,publisher,publish_year
0753820250,['0143034901'],The Shadow of the Wind (The Cemetery of Forgotten Books  #1),Carlos Ruiz Zafón/Lucia Graves,Phoenix Press,2005
0765342405,['0765342294'],Ender's Shadow (The Shadow Series  #1),Orson Scott Card,Starscape,2002
076790818X,['0767908171'],A Short History of Nearly Everything,Bill Bryson,Broadway Books,2004
076792603X,['0385504209'],The Da Vinci Code,Dan Brown,Broadway Books,2006
0771065264,['1400042828'],The View From Castle Rock,Alice Munro,McClelland and Stewart,2008
0802415318,['0802473156'],The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,Moody Publishers,2005
0130235016,['0385474547'],Things Fall Apart: An Adapted Classic,Chinua Achebe,Globe,2000
1400031362,['1400031362'],Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),Alexander McCall Smith,Random House Anchor,2002
1400032717,"['0385509456', '0099450259']",The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage,2004
1400034779,['1400031346'],The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,Anchor Books,2003
140004281X,['140004281X'],Runaway,Alice Munro,Alfred A. Knopf,2004
1400042828,['1400042828'],The View from Castle Rock,Alice Munro,Alfred A. Knopf,2006
1400043182,['1400043182'],The House of the Spirits,Isabel Allende/Madga Bogin/Christopher Hitchens,Everyman's Library,2005
1400043468,['1400043468'],My Life in France,Julia Child/Alex Prud'Homme,Knopf Publishing Group,2006
1400044162,"['1400095204', '1400044162']",Half of a Yellow Sun,Chimamanda Ngozi Adichie,Knopf,2006
1400044618,['1400044618'],Blind Willow  Sleeping Woman,Haruki Murakami/Philip Gabriel/Jay Rubin,Alfred A. Knopf,2006
1400052920,['0345391802'],The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,Crown,2004
140007570X,['1400031346'],In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,Anchor,2006
1400076196,['1596439653'],Saturday,Ian McEwan,Anchor,2006
1400078431,"['0345544951', '0425285162']",The Year of Magical Thinking,Joan Didion,Vintage,2007
1400078474,['1451691548'],Love,Toni Morrison,Vintage,2005
1400078776,['1400043395'],Never Let Me Go,Kazuo Ishiguro,Vintage Books,2010
1400079179,['0385504209'],The Da Vinci Code,Dan Brown,Anchor,2006
1400097029,"['1434265676', '0307263118', '037582913X']",The Sea,John Banville,Vintage,2006
1400102952,['1400044618'],Blind Willow  Sleeping Woman: 24 Stories,Haruki Murakami/Ellen Archer/Patrick Lawlor,Tantor Media,2006
1401301940,['1401301959'],Jamie's Dinners: The Essential Family Cookbook,Jamie Oliver/Marion Deuchars/David Loftus/Chris Terry,Hachette Books,2004
1401301959,['1401301959'],Jamie's Italy,Jamie Oliver/David Loftus/Chris Terry,Hachette Books,2006
1402714572,['1402714572'],Treasure Island,Robert Louis Stevenson/Scott McKowen,Sterling Children's Books,2004
1402714580,['1402714580'],Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,Sterling,2004
1402726007,['1402714602'],The Adventures of Huckleberry Finn,Mark Twain/Scott McKowen/Arthur Pober,Sterling,2006
0140283331,['0399501487'],Lord of the Flies,William Golding,Penguin Books,1999
0140449175,['0143035002'],Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,Penguin Books,2003
0140568190,['0142413844'],The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,Puffin,2001
0140620850,['1561458031'],Vanity Fair,William Makepeace Thackeray,Penguin Books,1998
0141006870,"['1594202273', '0395977894']",Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,Penguin Books,2002
0141007451,['0393050939'],Stiff: The Curious Lives of Human Cadavers,Mary Roach,Penguin,2004
0141008253,['0618173870'],Everything Is Illuminated,Jonathan Safran Foer,Penguin Group,2003
