ISBN,Title,Author,Publisher,Publication Year,Subjects
0805090037,Bring up the bodies : a novel,"Mantel, Hilary, 1952-","Henry Holt and Co.,",2012,Fiction
0545433169,"Amulet. Book seven, Firelight","Kibuishi, Kazu, 1978-","Graphix,",2016,Comic books strips
0307592839,A visit from the Goon Squad,"Egan, Jennifer","Alfred A. Knopf,",2010,Fiction
1905417403,Chicky chicky chook chook,"MacLennan, Cathy","Boxer Books ; distributed in the U.S. by Sterling Pub., Inc.,",2007,Fiction Juvenile
0061906220,I love my white shoes,"Litwin, Eric","Harper,",2010,Juvenile fiction
0375832321,"Babymouse. [4], Rock star","Holm, Jennifer L.","Random House,",2006,Comic books strips
0312655479,How the light gets in,"Penny, Louise","Minotaur Books,",2013,Fiction
0316261351,Imagine me gone : a novel,"Haslett, Adam","Little, Brown and Company,",2016,Fiction
0375832300,"Babymouse. [2], Our hero!","Holm, Jennifer L.","Random House,",2005,Comic books strips
0345526058,"Garfield, bigger and better","Davis, Jim, 1945 July 28-","Ballantine Books,",2015,Comic books strips
0545504929,Captain Underpants and the sensational saga of Sir Stinks-A-Lot : the twelfth epic novel,"Pilkey, Dav, 1966-","Scholastic Inc.,",2015,Juvenile fiction Fiction
0307949354,Before the wind,"Lynch, Jim, 1961-","Alfred A. Knopf,",2016,Fiction
0385352549,On the move : a life,"Sacks, Oliver, 1933-2015","Alfred A. Knopf,",2015,Neurologists
0670034827,Three cups of tea : one man's mission to fight terrorism and build nations-- one school at a time,"Mortenson, Greg","Viking Penguin,",2006,Girls schools Pakistan
0545493293,Fly Guy's amazing tricks,"Arnold, Tedd","Cartwheel Books, an imprint of Scholastic Inc.,",2014,Juvenile fiction Flies
0060588292,Kitten's first full moon,"Henkes, Kevin","Greenwillow Books,",2004,Juvenile fiction
0385737424,When you reach me,"Stead, Rebecca","Wendy Lamb Books,",2009,Space
0152022503,B is for bulldozer : a construction ABC,"Sobel, June","Harcourt,",2003,Juvenile fiction
0316143472,When you are engulfed in flames,"Sedaris, David","Little, Brown and Co.,",2008,Essays
1455533866,"Always hungry? : conquer cravings, retrain your fat cells, and lose weight permanently","Ludwig, David, 1957-","Grand Central Life & Style,",2016,Weight
0804190119,On tyranny : twenty lessons from the twentieth century,"Snyder, Timothy","Tim Duggan Books,",2017,Despotism
0345464621,"Garfield. [41], Older & wider","Davis, Jim, 1945 July 28-","Ballantine Books,",2005,Comic books strips
0545208858,"Amulet. Book three, The cloud searchers","Kibuishi, Kazu, 1978-","Graphix,",2010,books strips etc
0439578442,Tanka Tanka Skunk! : rhythm and rhyme,"Webb, Steve, 1967-","Orchard Books,",2004,English language Juvenile
1416589635,Little Bee,"Cleave, Chris","Simon & Schuster,",2009,Fiction
0345917545,Garfield worldwide,"Davis, Jim, 1945 July 28-","Ballantine Books,",2007,Comic books strips
0545208874,"Amulet. Book four, The last council","Kibuishi, Kazu, 1978-",Graphix,2011,Comic books strips
1476767319,The Rosie effect,"Simsion, Graeme C.","Simon & Schuster,",2015,Fiction
0345491785,Garfield takes up space,"Davis, Jim, 1945 July 28-","Ballantine Books,",2010,Comic books strips
0307266303,"Born to run : a hidden tribe, superathletes, and the greatest race the world has never seen","McDougall, Christopher, 1962-","Alfred A. Knopf,",2009,Mexico Copper Canyon
1481428713,Daniel goes out for dinner,"Testa, Maggie","Simon Spotlight,",2015,Juvenile fiction Fiction
0374280029,Here I am,"Foer, Jonathan Safran, 1977-","Farrar, Straus and Giroux,",2016,Fiction
0763620416,Peek! : a Thai hide-and-seek,"Ho, Minfong","Candlewick Press,",2004,Juvenile fiction and
0545886171,Mary Anne saves the day : a graphic novel,"Telgemeier, Raina","Scholastic,",2015,Comic books strips
043935806X,Harry Potter and the Order of the Phoenix,"Rowling, J. K.","Scholastic,",2003,Juvenile fiction
0316225932,The burning room : a novel,"Connelly, Michael, 1956-","Little, Brown and Company,",2014,Fiction Los Angeles
1594203334,Bringing up bébé : one American mother discovers the wisdom of French parenting,"Druckerman, Pamela","Penguin Press,",2012,Child rearing France
0805080686,Wolf Hall : a novel,"Mantel, Hilary, 1952-","Henry Holt and Co.,",2009,Fiction Great Britain
0375865748,"Babymouse. [14], Mad scientist","Holm, Jennifer L.","Random House,",2011,Comic books strips
0545694701,Captain Underpants and the invasion of the incredibly naughty cafeteria ladies from outer space (and the subsequent assault of the equally evil lunchroom zombie nerds),"Pilkey, Dav, 1966-","Scholastic Inc,",2015,Juvenile fiction Fiction
0553447084,Shattered : inside Hillary Clinton's doomed campaign,"Allen, Jonathan (Jonathan J. M.)","Crown,",2017,United States Political
1250135990,Tears we cannot stop : a sermon to white America,"Dyson, Michael Eric","St. Martin's Press,",2017,United States century
1101875682,The stranger in the woods : the extraordinary story of the last true hermit,"Finkel, Michael","Alfred A. Knopf,",2017,Smithfield Region Biography
0545027896,Wonderstruck : a novel in words and pictures,"Selznick, Brian","Scholastic Press,",2011,Juvenile fiction Fiction
0062051571,Pete's a pizza,"Steig, William, 1907-2003","HarperCollins Publishers,",1998,Juvenile fiction
1501141511,Born to run,"Springsteen, Bruce","Simon & Schuster,",2016,Springsteen
1594489580,The brief wondrous life of Oscar Wao,"Díaz, Junot, 1968-","Riverhead Books,",2007,Dominican
0385752792,Lunch Lady and the schoolwide scuffle,"Krosoczka, Jarrett","Alfred A. Knopf,",2014,Comic books strips
0375843892,"Squish. [1], Super Amoeba","Holm, Jennifer L.","Random House,",2011,books strips etc
1451648537,Steve Jobs,"Isaacson, Walter","Simon & Schuster,",2011,Computer United States
